SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,CarrierTrackingNumber,CustomerPONumber,RevisionNumber
SO43697,1,21768,310,20170701,20170711,20170708,1,19,6,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43698,1,28389,346,20170701,20170711,20170708,1,39,7,1,3399,99,3399,99,,0000,0,1912,1544,1912,1544,3399
SO43699,1,25863,346,20170701,20170711,20170708,1,100,1,1,3399,99,3399,99,,0000,0,1912,1544,1912,1544,3399
SO43700,1,14501,336,20170701,20170711,20170708,1,100,4,1,699,0982,699,0982,,0000,0,413,1463,413,1463,699
SO43701,1,11003,346,20170701,20170711,20170708,1,6,9,1,3399,99,3399,99,,0000,0,1912,1544,1912,1544,3399
SO43702,1,27645,311,20170701,20170711,20170708,1,100,4,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43703,1,16624,310,20170701,20170711,20170708,1,6,9,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43704,1,11005,351,20170701,20170711,20170708,1,6,9,1,3374,99,3374,99,,0000,0,1898,0944,1898,0944,3374
SO43705,1,11011,344,20170701,20170711,20170708,1,6,9,1,3399,99,3399,99,,0000,0,1912,1544,1912,1544,3399
SO43706,1,27621,312,20170702,20170712,20170709,1,100,4,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43707,1,27616,312,20170702,20170712,20170709,1,100,4,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43708,1,20042,330,20170702,20170712,20170709,1,98,10,1,699,0982,699,0982,,0000,0,413,1463,413,1463,699
SO43709,1,16351,313,20170702,20170712,20170709,1,6,9,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43710,1,16517,314,20170702,20170712,20170709,1,6,9,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43711,1,27606,314,20170702,20170712,20170709,1,100,1,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
SO43712,1,13513,311,20170702,20170712,20170709,1,29,8,1,3578,27,3578,27,,0000,0,2171,2942,2171,2942,3578
