SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,CarrierTrackingNumber,CustomerPONumber,RevisionNumber
SO57801,1,19574,541,20191012,20191022,20191019,1,6,9,1,28,99,28,99,,0000,0,10,8423,10,8423,28
SO57801,2,19574,530,20191012,20191022,20191019,1,6,9,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57801,3,19574,480,20191012,20191022,20191019,2,6,9,1,2,29,2,29,,0000,0,0,8565,0,8565,2
SO57802,1,19510,380,20191012,20191022,20191019,1,98,10,1,2443,35,2443,35,,0000,0,1554,9479,1554,9479,2443
SO57802,2,19510,484,20191012,20191022,20191019,1,98,10,1,7,95,7,95,,0000,0,2,9733,2,9733,7
SO57803,1,16409,376,20191012,20191022,20191019,1,100,8,1,2443,35,2443,35,,0000,0,1554,9479,1554,9479,2443
SO57803,2,16409,477,20191012,20191022,20191019,1,100,8,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57803,3,16409,463,20191012,20191022,20191019,1,100,8,1,24,49,24,49,,0000,0,9,1593,9,1593,24
SO57803,4,16409,479,20191012,20191022,20191019,1,100,8,1,8,99,8,99,,0000,0,3,3623,3,3623,8
SO57804,1,16470,588,20191012,20191022,20191019,2,98,10,1,769,49,769,49,,0000,0,419,7784,419,7784,769
SO57804,2,16470,474,20191012,20191022,20191019,1,98,10,1,69,99,69,99,,0000,0,26,1763,26,1763,69
SO57805,1,29271,529,20191012,20191022,20191019,1,100,1,1,3,99,3,99,,0000,0,1,4923,1,4923,3
SO57805,2,29271,222,20191012,20191022,20191019,1,100,1,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO57806,1,29112,529,20191012,20191022,20191019,1,100,4,1,3,99,3,99,,0000,0,1,4923,1,4923,3
SO57806,2,29112,480,20191012,20191022,20191019,1,100,4,1,2,29,2,29,,0000,0,0,8565,0,8565,2
SO57807,1,19648,530,20191012,20191022,20191019,1,19,6,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57807,2,19648,480,20191012,20191022,20191019,2,19,6,1,2,29,2,29,,0000,0,0,8565,0,8565,2
SO57808,1,26557,541,20191012,20191022,20191019,1,100,4,1,28,99,28,99,,0000,0,10,8423,10,8423,28
SO57808,2,26557,530,20191012,20191022,20191019,1,100,4,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57808,3,26557,480,20191012,20191022,20191019,1,100,4,1,2,29,2,29,,0000,0,0,8565,0,8565,2
SO57808,4,26557,484,20191012,20191022,20191019,1,100,4,1,7,95,7,95,,0000,0,2,9733,2,9733,7
SO57809,1,18659,476,20191012,20191022,20191019,1,100,4,1,69,99,69,99,,0000,0,26,1763,26,1763,69
SO57809,2,18659,481,20191012,20191022,20191019,1,100,4,1,8,99,8,99,,0000,0,3,3623,3,3623,8
SO57810,1,22027,528,20191012,20191022,20191019,1,19,6,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57810,2,22027,487,20191012,20191022,20191019,1,19,6,1,54,99,54,99,,0000,0,20,5663,20,5663,54
SO57811,1,15560,528,20191012,20191022,20191019,1,100,1,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57812,1,17628,528,20191012,20191022,20191019,1,98,10,1,4,99,4,99,,0000,0,1,8663,1,8663,4
SO57812,2,17628,214,20191012,20191022,20191019,1,98,10,1,34,99,34,99,,0000,0,13,0863,13,0863,34
SO57812,3,17628,231,20191012,20191022,20191019,1,98,10,1,49,99,49,99,,0000,0,38,4923,38,4923,49
SO57812,4,17628,482,20191012,20191022,20191019,1,98,10,1,8,99,8,99,,0000,0,3,3623,3,3623,8
SO57813,1,14544,528,20191012,20191022,20191019,1,100,7,1,4,99,4,99,,0000,0,1,8663,1,8663,4
