SalesOrderNumber;SalesOrderLineNumber;ResellerKey;ProductKey;OrderDateKey;DueDateKey;ShipDateKey;EmployeeKey;PromotionKey;CurrencyKey;SalesTerritoryKey;OrderQuantity;UnitPrice;ExtendedAmount;UnitPriceDiscountPct;DiscountAmount;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmount;FreightAmount;CarrierTrackingNumber;CustomerPONumber;RevisionNumber
SO55265;6;41;482;20191011;20191021;20191018;287;4;100;4;27;4,50;121,37;0,1;12,14;3,36;90,78;109,23;8,74;2,73;D45F-41FE-9B;PO10237157039;1
SO55265;7;41;483;20191011;20191021;20191018;287;1;100;4;5;72,00;360,00;0;0,00;44,88;224,40;360,00;28,80;9,00;D45F-41FE-9B;PO10237157039;1
SO55265;8;41;580;20191011;20191021;20191018;287;1;100;4;4;1 020,59;4 082,38;0;0,00;1 082,51;4 330,04;4 082,38;326,59;102,06;D45F-41FE-9B;PO10237157039;1
SO55265;9;41;606;20191011;20191021;20191018;287;1;100;4;1;323,99;323,99;0;0,00;343,65;343,65;323,99;25,92;8,10;D45F-41FE-9B;PO10237157039;1
SO55265;10;41;225;20191011;20191021;20191018;287;1;100;4;5;5,39;26,97;0;0,00;6,92;34,61;26,97;2,16;0,67;D45F-41FE-9B;PO10237157039;1
SO55265;11;41;490;20191011;20191021;20191018;287;1;100;4;1;32,39;32,39;0;0,00;41,57;41,57;32,39;2,59;0,81;D45F-41FE-9B;PO10237157039;1
SO55265;12;41;491;20191011;20191021;20191018;287;1;100;4;6;32,39;194,36;0;0,00;41,57;249,43;194,36;15,55;4,86;D45F-41FE-9B;PO10237157039;1
SO55265;13;41;605;20191011;20191021;20191018;287;1;100;4;4;323,99;1 295,98;0;0,00;343,65;1 374,60;1 295,98;103,68;32,40;D45F-41FE-9B;PO10237157039;1
SO55266;1;480;583;20191011;20191021;20191018;284;1;19;6;2;1 020,59;2 041,19;0;0,00;1 082,51;2 165,02;2 041,19;163,30;51,03;03C7-431B-BA;PO10527171106;1
SO55266;2;480;606;20191011;20191021;20191018;284;1;19;6;1;323,99;323,99;0;0,00;343,65;343,65;323,99;25,92;8,10;03C7-431B-BA;PO10527171106;1
SO55266;3;480;484;20191011;20191021;20191018;284;1;19;6;2;4,77;9,54;0;0,00;2,97;5,95;9,54;0,76;0,24;03C7-431B-BA;PO10527171106;1
SO55266;4;480;225;20191011;20191021;20191018;284;1;19;6;3;5,39;16,18;0;0,00;6,92;20,77;16,18;1,29;0,40;03C7-431B-BA;PO10527171106;1
SO55266;5;480;605;20191011;20191021;20191018;284;1;19;6;1;323,99;323,99;0;0,00;343,65;343,65;323,99;25,92;8,10;03C7-431B-BA;PO10527171106;1
SO55266;6;480;491;20191011;20191021;20191018;284;1;19;6;3;32,39;97,18;0;0,00;41,57;124,72;97,18;7,77;2,43;03C7-431B-BA;PO10527171106;1
SO55266;7;480;546;20191011;20191021;20191018;284;1;19;6;1;37,25;37,25;0;0,00;27,57;27,57;37,25;2,98;0,93;03C7-431B-BA;PO10527171106;1
SO55266;8;480;483;20191011;20191021;20191018;284;1;19;6;1;72,00;72,00;0;0,00;44,88;44,88;72,00;5,76;1,80;03C7-431B-BA;PO10527171106;1
SO55266;9;480;471;20191011;20191021;20191018;284;1;19;6;6;38,10;228,60;0;0,00;23,75;142,49;228,60;18,29;5,72;03C7-431B-BA;PO10527171106;1
SO55266;10;480;481;20191011;20191021;20191018;284;1;19;6;4;5,39;21,58;0;0,00;3,36;13,45;21,58;1,73;0,54;03C7-431B-BA;PO10527171106;1
SO55266;11;480;482;20191011;20191021;20191018;284;1;19;6;7;5,39;37,76;0;0,00;3,36;23,54;37,76;3,02;0,94;03C7-431B-BA;PO10527171106;1
SO55266;12;480;234;20191011;20191021;20191018;284;1;19;6;4;29,99;119,98;0;0,00;38,49;153,97;119,98;9,60;3,00;03C7-431B-BA;PO10527171106;1
SO55266;13;480;477;20191011;20191021;20191018;284;1;19;6;5;2,99;14,97;0;0,00;1,87;9,33;14,97;1,20;0,37;03C7-431B-BA;PO10527171106;1
