ProductKey,DateKey,UnitCost,UnitsIn,UnitsOut,UnitsBalance
364,20190411,500.63,0,0,86
364,20190412,502.08,0,0,86
364,20190413,500.32,0,0,86
364,20190414,499.07,0,0,86
364,20190415,497.23,0,0,86
364,20190416,495.79,0,0,86
364,20190417,495.74,0,0,86
364,20190418,496.48,0,0,86
364,20190419,498.61,0,0,86
364,20190420,496.42,0,0,86
364,20190421,498.65,0,0,86
364,20190422,500.25,0,0,86
364,20190423,499.75,0,0,86
364,20190424,500.8,0,0,86
364,20190425,501.3,0,0,86
364,20190426,503.51,0,0,86
364,20190427,503.76,0,0,86
364,20190428,506.23,0,0,86
364,20190429,505.47,0,0,86
364,20190430,506.17,0,0,86
364,20190501,507.03,0,0,86
364,20190502,509.57,0,0,86
364,20190503,508.3,0,0,86
364,20190504,509.82,0,0,86
364,20190505,511.45,0,0,86
364,20190506,511.71,0,0,86
364,20190507,514.11,0,0,86
364,20190508,515.14,0,0,86
364,20190509,516.17,0,0,86
364,20190510,515.4,0,0,86
364,20190511,517.2,0,0,86
364,20190512,516.12,0,0,86
364,20190513,517.04,0,0,86
364,20190514,515.34,0,0,86
364,20190515,514.56,0,0,86
364,20190516,514.41,0,0,86
364,20190517,514.0,0,86,
364,20190518,515.7,0,0,86
364,20190519,517.29,0,0,86
364,20190520,519.05,0,0,86
364,20190521,520.19,0,0,86
364,20190522,519.31,0,0,86
364,20190523,520.71,0,0,86
364,20190524,521.91,0,0,86
364,20190525,521.86,0,0,86
364,20190526,521.65,0,0,86
364,20190527,521.23,0,0,86
364,20190528,523.58,0,0,86
364,20190529,524.21,0,0,86
364,20190530,523.05,0,0,86
364,20190531,525.14,0,0,86
364,20190601,523.52,0,0,86
364,20190602,525.03,0,0,86
364,20190603,525.56,0,0,86
364,20190604,523.98,0,0,86
364,20190605,523.67,0,0,86
364,20190606,522.05,0,0,86
364,20190607,524.5,0,0,86
364,20190608,526.33,0,0,86
364,20190609,526.44,0,0,86
364,20190610,525.81,0,0,86
364,20190611,525.7,0,0,86
364,20190612,526.7,0,0,86
364,20190613,524.6,0,0,86
364,20190614,523.76,0,0,86
364,20190615,521.92,0,0,86
364,20190616,522.97,0,0,86
364,20190617,521.29,0,0,86
364,20190618,521.03,0,0,86
364,20190619,520.56,0,0,86
364,20190620,521.97,0,0,86
364,20190621,523.64,0,0,86
364,20190622,523.95,0,0,86
364,20190623,525.37,0,0,86
364,20190624,524.48,0,0,86
364,20190625,526.1,0,0,86
364,20190626,525.36,0,0,86
364,20190627,527.41,0,0,86
364,20190628,526.15,0,0,86
364,20190629,525.46,0,0,86
364,20190630,525.2,0,0,86
364,20190701,525.99,0,0,86
364,20190702,525.2,0,0,86
364,20190703,525.15,0,0,86
364,20190704,524.41,0,0,86
364,20190705,526.98,0,0,86
364,20190706,526.67,0,0,86
364,20190707,527.67,0,0,86
364,20190708,530.25,0,0,86
364,20190709,527.92,0,0,86
364,20190710,529.71,0,0,86
