ProductKey,DateKey,UnitCost,UnitsIn,UnitsOut,UnitsBalance
122,20180203,0.33,0,0,875
122,20180204,0.33,0,0,875
122,20180205,0.33,0,0,875
122,20180206,0.33,0,0,875
122,20180207,0.33,0,0,875
122,20180208,0.33,0,0,875
122,20180209,0.33,0,0,875
122,20180210,0.33,0,0,875
122,20180211,0.33,0,0,875
122,20180212,0.33,0,0,875
122,20180213,0.33,0,0,875
122,20180214,0.33,0,0,875
122,20180215,0.33,0,0,875
122,20180216,0.33,0,0,875
122,20180217,0.33,0,0,875
122,20180218,0.33,0,0,875
122,20180219,0.33,0,0,875
122,20180220,0.33,0,0,875
122,20180221,0.33,0,0,875
122,20180222,0.33,0,0,875
122,20180223,0.33,0,0,875
122,20180224,0.33,0,0,875
122,20180225,0.33,0,0,875
122,20180226,0.33,0,0,875
122,20180227,0.33,0,0,875
122,20180228,0.33,0,0,875
122,20180301,0.34,0,0,875
122,20180302,0.34,0,0,875
122,20180303,0.34,0,0,875
122,20180304,0.34,0,0,875
122,20180305,0.34,0,0,875
122,20180306,0.34,0,0,875
122,20180307,0.34,0,0,875
122,20180308,0.34,0,0,875
122,20180309,0.34,0,0,875
122,20180310,0.34,0,0,875
122,20180311,0.34,0,0,875
122,20180312,0.34,0,0,875
122,20180313,0.34,0,0,875
122,20180314,0.35,0,0,875
122,20180315,0.34,0,0,875
122,20180316,0.35,0,0,875
122,20180317,0.35,0,0,875
122,20180318,0.34,0,0,875
122,20180319,0.35,0,0,875
122,20180320,0.35,0,0,875
122,20180321,0.35,0,0,875
122,20180322,0.35,0,0,875
122,20180323,0.35,0,0,875
122,20180324,0.35,0,0,875
122,20180325,0.35,0,0,875
122,20180326,0.35,0,0,875
122,20180327,0.35,0,0,875
122,20180328,0.35,0,0,875
122,20180329,0.35,0,0,875
122,20180330,0.35,0,0,875
122,20180331,0.35,0,0,875
122,20180401,0.34,0,0,875
122,20180402,0.34,0,0,875
122,20180403,0.34,0,0,875
122,20180404,0.35,0,0,875
122,20180405,0.35,0,0,875
122,20180406,0.35,0,0,875
122,20180407,0.35,0,0,875
122,20180408,0.34,0,0,875
122,20180409,0.34,0,0,875
122,20180410,0.34,0,0,875
122,20180411,0.34,0,0,875
122,20180412,0.34,0,0,875
122,20180413,0.35,0,0,875
122,20180414,0.34,0,0,875
122,20180415,0.34,0,0,875
122,20180416,0.35,0,0,875
122,20180417,0.35,0,0,875
122,20180418,0.35,0,0,875
122,20180419,0.35,0,0,875
122,20180420,0.35,0,0,875
122,20180421,0.35,0,0,875
122,20180422,0.34,0,0,875
122,20180423,0.34,0,0,875
122,20180424,0.34,0,0,875
122,20180425,0.34,0,0,875
122,20180426,0.34,0,0,875
122,20180427,0.34,0,0,875
122,20180428,0.34,0,0,875
122,20180429,0.34,0,0,875
122,20180430,0.34,0,0,875
122,20180501,0.34,0,0,875
122,20180502,0.34,0,0,875
122,20180503,0.34,0,0,875
122,20180504,0.34,0,0,875
122,20180505,0.34,0,0,875
122,20180506,0.34,0,0,875
122,20180507,0.35,0,0,875
